DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
29-Aug-2018,23,54,19,51,30,50,55,1,Arthur,"PINK34008056;AQUA03615654,AQUA67916493,BLUE33621162,BLUE73643491,GOLD61816223,GREY57768955,JADE39416634,LIME53351389,LIME69717223,LIME90331757,NAVY07959765,PINK63371986,ROSE46463389,ROSE70497427,ROSE86499965,ROSE86715786,RUBY19668894,RUBY55348000,RUBY58070269,TEAL45968431",2367
25-Aug-2018,33,56,9,39,41,22,48,3,Arthur,"BLUE37082053;AQUA09732487,AQUA23344275,AQUA42848167,BLUE29654590,BLUE36533914,BLUE65992568,BLUE85150505,GOLD01923850,GOLD19460272,GREY50569907,GREY93025500,JADE52479674,LIME37603918,NAVY04868824,NAVY74726662,ROSE01195219,ROSE71097665,RUBY40954768,TEAL05012028,TEAL16886989",2366
22-Aug-2018,47,25,34,21,15,20,36,6,Merlin,"PINK10656857;AQUA19359010,GREY03486691,GREY11491391,JADE02516931,JADE93139273,LIME09558192,LIME11072541,NAVY42209529,PINK11349301,PINK68431329,PINK91362035,PLUM00225153,PLUM47991191,PLUM94207385,ROSE11897294,ROSE62097827,ROSE63795494,RUBY62846180,RUBY80707034,TEAL98599173",2365
18-Aug-2018,55,6,12,1,13,2,11,8,Merlin,"TEAL19379066;AQUA19763472,GOLD24869502,GOLD61915107,GOLD73567763,GREY32876166,GREY70372366,JADE06342991,JADE96930302,LIME11161676,LIME15465340,LIME57862539,NAVY43139554,NAVY64114711,PINK76910003,PLUM31069737,PLUM62878003,PLUM73521576,PLUM94574762,ROSE64796945,RUBY46266969",2364
15-Aug-2018,28,58,3,48,34,41,54,7,Arthur,"ROSE67650540;BLUE22667792,BLUE71934422,GOLD40776970,GOLD48224078,GOLD79411064,JADE26498080,JADE42578523,JADE66611612,LIME34202913,NAVY05212047,NAVY50513240,NAVY92561327,PINK37011603,PLUM09619292,PLUM54698173,ROSE94719891,RUBY01925476,RUBY64346314,TEAL37984114,TEAL38155832",2363
11-Aug-2018,37,19,18,1,10,3,57,6,Arthur,"JADE27754412;AQUA31615964,AQUA90282511,GOLD43807321,GREY88598422,JADE75267955,JADE83312273,LIME13660004,NAVY12849651,NAVY92366609,PINK99933528,PLUM01965806,PLUM22865011,PLUM25976422,PLUM42517595,PLUM90616460,PLUM91418892,ROSE32517094,ROSE52173941,ROSE78721964,RUBY33079010",2362
08-Aug-2018,19,20,31,34,8,27,7,5,Arthur,"RUBY51068374;AQUA91881634,AQUA99718729,BLUE05096159,BLUE54552537,BLUE88979881,GOLD32606862,GOLD81823197,GOLD93169921,JADE38449757,JADE75158812,LIME00017038,NAVY92002645,PINK76413797,PLUM07877791,PLUM16384225,PLUM17426897,PLUM49722098,PLUM67175575,ROSE80144951,RUBY26162953",2361
04-Aug-2018,5,17,23,34,51,25,52,7,Arthur,"PINK73878518;AQUA56505994,BLUE02044457,GOLD38409515,GOLD57228672,GREY09148440,GREY38954717,GREY94403560,GREY96655035,JADE33314916,JADE94284809,LIME41717292,NAVY10683048,NAVY55845188,NAVY84026942,PLUM04870664,ROSE40478350,ROSE60466417,RUBY76294443,TEAL17239792,TEAL75679674",2360
01-Aug-2018,46,54,34,17,18,15,4,8,Arthur,"AQUA22205596;AQUA83505639,BLUE39731757,GOLD91470190,GOLD99917538,GREY70602741,GREY75249811,GREY93140477,JADE83531257,JADE87474609,LIME34707577,LIME53469448,LIME87054287,NAVY29298694,NAVY48060244,NAVY91647336,PINK33352128,PLUM87540532,ROSE64120677,RUBY08991789,RUBY73085944",2359
28-Jul-2018,45,11,29,38,31,32,10,5,Arthur,"GREY69880145;BLUE43679624,BLUE60063709,BLUE87302060,GOLD10688696,GOLD57696252,GOLD80634975,GOLD86618694,GREY10052782,LIME05117915,LIME13904156,LIME57538527,LIME82888344,PINK22335631,PINK72674526,PINK97439093,PLUM25854998,PLUM69021180,ROSE40599097,RUBY59094131,RUBY85798121",2358
